;datumcas;CO2_ppm
230;9.11.2011;421,4759
231;9.11.2011;421,8463
232;9.11.2011;419,2119
233;9.11.2011;419,0351
234;9.11.2011;424,5099
235;9.11.2011;423,9656
236;9.11.2011;418,6763
237;9.11.2011;422,2346
238;9.11.2011;420,6676
239;9.11.2011;419,6977
240;9.11.2011;422,4574
241;9.11.2011;424,9525
242;9.11.2011;420,7199
243;9.11.2011;423,8403
244;9.11.2011;420,9802
245;9.11.2011;418,7426
246;9.11.2011;420
247;9.11.2011;420,3113
248;9.11.2011;420,4364
249;9.11.2011;424,6463
250;9.11.2011;420,2729
251;9.11.2011;424,7924
252;9.11.2011;418,6839
253;9.11.2011;422,4095
254;9.11.2011;424,8511
255;9.11.2011;422,9268
256;9.11.2011;420,11
257;9.11.2011;422,2501
258;9.11.2011;424,0069
259;9.11.2011;418,8095
260;9.11.2011;419,7203
261;9.11.2011;420,6995
262;9.11.2011;423,3451
263;9.11.2011;424,0973
264;9.11.2011;419,5686
265;9.11.2011;419,7339
266;9.11.2011;422,6049
267;9.11.2011;421,8447
268;9.11.2011;422,6719
269;9.11.2011;420,3496
270;9.11.2011;425,8099
271;9.11.2011;425,1241
272;9.11.2011;422,1488
273;9.11.2011;418,6255
274;9.11.2011;420,3535
275;9.11.2011;421,9462
276;9.11.2011;421,6851
277;9.11.2011;424,142
278;9.11.2011;423,2054
279;9.11.2011;426,1675
280;9.11.2011;421,3333
281;9.11.2011;426,4465
282;9.11.2011;424,1419
283;9.11.2011;425,5076
284;9.11.2011;424,0807
285;9.11.2011;421,5962
286;9.11.2011;424,0584
287;9.11.2011;421,4047
288;9.11.2011;422,5468
289;9.11.2011;420,2936
290;9.11.2011;421,4831
291;9.11.2011;424,8373
292;9.11.2011;419,8716
293;9.11.2011;423,2185
294;9.11.2011;426,1108
295;9.11.2011;426,4957
296;9.11.2011;423,5803
297;9.11.2011;424,6831
298;9.11.2011;425,1955
299;9.11.2011;418,7351
300;9.11.2011;425,5193
301;9.11.2011;422,481
302;9.11.2011;425,5856
303;9.11.2011;422,7767
304;9.11.2011;423,7292
305;9.11.2011;420,4235
306;9.11.2011;422,1364
307;9.11.2011;422,4923
308;9.11.2011;424,8245
309;9.11.2011;421,7889
310;9.11.2011;428,4144
311;9.11.2011;425,994
312;9.11.2011;422,5783
313;9.11.2011;426,5557
314;9.11.2011;423,1705
315;9.11.2011;420,2413
316;9.11.2011;422,2545
317;9.11.2011;424,9802
318;9.11.2011;425,6242
319;9.11.2011;419,3703
320;9.11.2011;424,7255
321;9.11.2011;426,015
322;9.11.2011;422,226
323;9.11.2011;427,7916
324;9.11.2011;426,4066
325;9.11.2011;421,8097
326;9.11.2011;421,5682
327;9.11.2011;421,1387
328;9.11.2011;421,2664
329;9.11.2011;430,5926
330;9.11.2011;422,683
331;9.11.2011;424,3513
332;9.11.2011;423,9755
333;9.11.2011;427,1087
334;9.11.2011;429,3888
335;9.11.2011;426,1985
336;9.11.2011;424,3445
337;9.11.2011;427,7086
338;9.11.2011;423,7289
339;9.11.2011;427,8966
340;9.11.2011;426,871
341;9.11.2011;425,1733
342;9.11.2011;429,2362
343;9.11.2011;426,1748
344;9.11.2011;425,449
345;9.11.2011;430,2928
346;9.11.2011;425,1586
347;9.11.2011;427,341
348;9.11.2011;422,648
349;9.11.2011;423,1967
350;9.11.2011;427,3095
351;9.11.2011;419,9236
352;9.11.2011;419,7245
353;9.11.2011;424,9711
354;9.11.2011;425,4687
355;9.11.2011;428,3527
356;9.11.2011;428,4531
357;9.11.2011;425,8075
358;9.11.2011;428,9406
359;9.11.2011;427,7085
360;9.11.2011;422,1283
361;9.11.2011;425,3117
362;9.11.2011;427,9133
363;9.11.2011;428,1816
364;9.11.2011;429,1779
365;9.11.2011;424,6314
366;9.11.2011;426,4652
367;9.11.2011;429,2633
368;9.11.2011;431,3719
369;9.11.2011;426,3803
370;9.11.2011;424,758
371;9.11.2011;426,8044
372;9.11.2011;424,7939
373;9.11.2011;428,7846
374;9.11.2011;426,9975
375;9.11.2011;426,0899
376;9.11.2011;427,9498
377;9.11.2011;426,6058
378;9.11.2011;423,9018
379;9.11.2011;427,4801
380;9.11.2011;428,6245
381;9.11.2011;425,0293
382;9.11.2011;425,8827
383;9.11.2011;426,5605
384;9.11.2011;421,4201
385;9.11.2011;428,4723
386;9.11.2011;427,7423
387;9.11.2011;425,1317
388;9.11.2011;430,143
389;9.11.2011;427,9187
390;9.11.2011;429,3229
391;9.11.2011;427,439
392;9.11.2011;430,3163
393;9.11.2011;427,4901
394;9.11.2011;424,5294
395;9.11.2011;427,7253
396;9.11.2011;427,7817
397;9.11.2011;423,4787
398;9.11.2011;430,3712
399;9.11.2011;430,0523
400;9.11.2011;427,0632
401;9.11.2011;431,4851
402;9.11.2011;426,8933
403;9.11.2011;427,7276
404;9.11.2011;428,3496
405;9.11.2011;425,6382
406;9.11.2011;428,479
407;9.11.2011;431,9292
408;9.11.2011;428,9097
409;9.11.2011;429,4321
410;9.11.2011;432,5229
411;9.11.2011;428,6722
412;9.11.2011;422,7365
413;9.11.2011;428,1444
414;9.11.2011;426,1334
415;9.11.2011;433,1219
416;9.11.2011;429,0055
417;9.11.2011;432,9853
418;9.11.2011;420,3212
419;9.11.2011;430,7616
420;9.11.2011;426,189
421;9.11.2011;422,6741
422;9.11.2011;428,5083
423;9.11.2011;427,8935
424;9.11.2011;425,8186
425;9.11.2011;431,7513
426;9.11.2011;428,6994
427;9.11.2011;435,3797
428;9.11.2011;422,0451
429;9.11.2011;435,085
430;9.11.2011;429,2689
431;9.11.2011;428,8276
432;9.11.2011;428,7806
433;9.11.2011;426,4835
434;9.11.2011;433,8108
435;9.11.2011;429,248
436;9.11.2011;427,9318
437;9.11.2011;427,8726
438;9.11.2011;434,5477
439;9.11.2011;425,5214
440;9.11.2011;429,9264
441;9.11.2011;429,3531
442;9.11.2011;427,4953
443;9.11.2011;428,4508
444;9.11.2011;427,9686
445;9.11.2011;432,1073
446;9.11.2011;429,9706
447;9.11.2011;426,7472
448;9.11.2011;430,5299
449;9.11.2011;430,0976
450;9.11.2011;431,1882
451;9.11.2011;430,1531
452;9.11.2011;429,6889
453;9.11.2011;432,6328
454;9.11.2011;429,2408
455;9.11.2011;427,9935
456;9.11.2011;427,2094
457;9.11.2011;428,4237
458;9.11.2011;432,8139
459;9.11.2011;426,8492
460;9.11.2011;431,7083
461;9.11.2011;429,1172
462;9.11.2011;426,6056
463;9.11.2011;430,507
464;9.11.2011;432,0075
465;9.11.2011;431,966
466;9.11.2011;426,1536
467;9.11.2011;429,8299
468;9.11.2011;431,7928
469;9.11.2011;433,1233
470;9.11.2011;425,9975
471;9.11.2011;431,1282
472;9.11.2011;428,8204
473;9.11.2011;429,5483
474;9.11.2011;433,4218
475;9.11.2011;433,918
476;9.11.2011;428,3837
477;9.11.2011;433,9764
478;9.11.2011;428,7233
479;9.11.2011;429,1738
480;9.11.2011;427,4619
481;9.11.2011;429,4774
482;9.11.2011;429,4004
483;9.11.2011;433,2307
484;9.11.2011;428,964
485;9.11.2011;432,7977
486;9.11.2011;430,1516
487;9.11.2011;431,4811
488;9.11.2011;432,5933
489;9.11.2011;429,8169
490;9.11.2011;434,1435
491;9.11.2011;431,2249
492;9.11.2011;432,1614
493;9.11.2011;433,2939
494;9.11.2011;429,4198
495;9.11.2011;426,3333
496;9.11.2011;430,1241
497;9.11.2011;433,3679
498;9.11.2011;431,8287
499;9.11.2011;433,1872
500;9.11.2011;430,9245
501;9.11.2011;432,6654
502;9.11.2011;432,3125
503;9.11.2011;436,336
504;9.11.2011;429,9405
505;9.11.2011;431,9525
506;9.11.2011;433,5186
507;9.11.2011;433,9024
508;9.11.2011;437,1867
509;9.11.2011;431,2892
510;9.11.2011;428,0627
511;9.11.2011;430,7116
512;9.11.2011;432,0137
513;9.11.2011;429,0304
514;9.11.2011;431,2053
515;9.11.2011;432,2579
516;9.11.2011;431,6283
517;9.11.2011;432,1317
518;9.11.2011;430,8552
519;9.11.2011;433,5178
520;9.11.2011;434,6826
521;9.11.2011;431,3874
522;9.11.2011;432,4637
523;9.11.2011;431,6468
524;9.11.2011;430,553
525;9.11.2011;429,1303
526;9.11.2011;434,8351
527;9.11.2011;433,0639
528;9.11.2011;434,1692
529;9.11.2011;435,6625
530;9.11.2011;430,3129
531;9.11.2011;433,2349
532;9.11.2011;432,081
533;9.11.2011;435,5916
534;9.11.2011;433,5456
535;9.11.2011;434,7527
536;9.11.2011;435,399
537;9.11.2011;435,8399
538;9.11.2011;433,2887
539;9.11.2011;430,2188
540;9.11.2011;438,0781
541;9.11.2011;435,0968
542;9.11.2011;431,016
543;9.11.2011;429,9102
544;9.11.2011;434,7339
545;9.11.2011;434,9269
546;9.11.2011;435,7787
547;9.11.2011;432,0779
548;9.11.2011;433,7478
549;9.11.2011;430,6644
550;9.11.2011;434,8307
551;9.11.2011;433,6234
552;9.11.2011;429,3645
553;9.11.2011;438,7984
554;9.11.2011;436,88
555;9.11.2011;429,1626
556;9.11.2011;433,9219
557;9.11.2011;428,6684
558;9.11.2011;432,2533
559;9.11.2011;437,2827
560;9.11.2011;432,649
561;9.11.2011;432,9827
562;9.11.2011;432,4359
563;9.11.2011;432,2266
564;9.11.2011;435,3171
565;9.11.2011;432,2151
566;9.11.2011;435,5071
567;9.11.2011;433,8714
568;9.11.2011;433,2558
569;9.11.2011;431,7001
570;9.11.2011;437,8658
571;9.11.2011;431,4302
572;9.11.2011;434,8634
573;9.11.2011;432,4734
574;9.11.2011;435,7086
575;9.11.2011;428,6721
576;9.11.2011;433,0829
577;9.11.2011;432,5473
578;9.11.2011;433,6693
579;9.11.2011;435,5032
580;9.11.2011;437,1008
581;9.11.2011;432,9191
582;9.11.2011;434,2609
583;9.11.2011;430,0814
584;9.11.2011;436,0544
585;9.11.2011;436,5408
586;9.11.2011;435,3238
587;9.11.2011;436,5013
588;9.11.2011;434,9856
589;9.11.2011;433,7033
590;9.11.2011;432,6028
591;9.11.2011;434,6011
592;9.11.2011;431,2872
593;9.11.2011;436,1667
594;9.11.2011;436,7361
595;9.11.2011;435,4752
596;9.11.2011;434,9309
597;9.11.2011;436,6159
598;9.11.2011;430,385
599;9.11.2011;437,2646
600;9.11.2011;437,5444
601;9.11.2011;434,613
602;9.11.2011;435,1508
603;9.11.2011;438,1519
604;9.11.2011;437,2371
605;9.11.2011;436,2886
606;9.11.2011;436,96
607;9.11.2011;432,3825
608;9.11.2011;434,0956
609;9.11.2011;433,9983
610;9.11.2011;432,5331
611;9.11.2011;433,0894
612;9.11.2011;435,251
613;9.11.2011;433,787
614;9.11.2011;436,8836
615;9.11.2011;436,6639
616;9.11.2011;435,5929
617;9.11.2011;435,2001
618;9.11.2011;434,6973
619;9.11.2011;432,1252
620;9.11.2011;431,0529
621;9.11.2011;438,0575
622;9.11.2011;437,7154
623;9.11.2011;430,0326
624;9.11.2011;439,3444
625;9.11.2011;437,1988
626;9.11.2011;437,7958
627;9.11.2011;438,3921
628;9.11.2011;433,844
629;9.11.2011;437,9701
630;9.11.2011;437,2271
631;9.11.2011;436,4945
632;9.11.2011;434,2745
633;9.11.2011;439,8885
634;9.11.2011;435,4528
635;9.11.2011;437,4024
636;9.11.2011;437,4425
637;9.11.2011;436,4426
638;9.11.2011;438,5567
639;9.11.2011;432,125
640;9.11.2011;433,7176
641;9.11.2011;433,925
642;9.11.2011;434,0084
643;9.11.2011;437,3582
644;9.11.2011;437,1254
645;9.11.2011;435,8767
646;9.11.2011;437,2639
647;9.11.2011;437,2232
648;9.11.2011;437,7628
649;9.11.2011;438,7557
650;9.11.2011;437,3508
651;9.11.2011;438,8641
652;9.11.2011;438,6641
653;9.11.2011;439,9672
654;9.11.2011;437,6816
655;9.11.2011;435,9394
656;9.11.2011;438,4923
657;9.11.2011;436,8222
658;9.11.2011;437,4269
659;9.11.2011;435,3516
660;9.11.2011;438,1338
661;9.11.2011;443,888
662;9.11.2011;438,9002
663;9.11.2011;437,5982
664;9.11.2011;439,0099
665;9.11.2011;437,157
666;9.11.2011;436,7744
667;9.11.2011;437,6799
668;9.11.2011;436,12
669;9.11.2011;441,447
670;9.11.2011;441,4967
671;9.11.2011;439,601
672;9.11.2011;442,1658
673;9.11.2011;434,0233
674;9.11.2011;441,971
675;9.11.2011;435,2172
676;9.11.2011;436,4123
677;9.11.2011;432,2696
678;9.11.2011;434,6332
679;9.11.2011;439,0191
680;9.11.2011;440,567
681;9.11.2011;438,0991
682;9.11.2011;434,7705
683;9.11.2011;440,0426
684;9.11.2011;438,6972
685;9.11.2011;436,2892
686;9.11.2011;443,5471
687;9.11.2011;441,6561
688;9.11.2011;435,4941
689;9.11.2011;432,005
690;9.11.2011;439,0654
691;9.11.2011;438,2614
692;9.11.2011;441,5856
693;9.11.2011;438,9818
694;9.11.2011;440,3243
695;9.11.2011;436,0296
696;9.11.2011;436,2497
697;9.11.2011;436,0173
698;9.11.2011;441,0997
699;9.11.2011;440,6193
700;9.11.2011;440,058
701;9.11.2011;440,6546
702;9.11.2011;436,3457
703;9.11.2011;439,9777
704;9.11.2011;438,3352
705;9.11.2011;439,7252
706;9.11.2011;435,1691
707;9.11.2011;439,1118
708;9.11.2011;437,8012
709;9.11.2011;438,1944
710;9.11.2011;436,9384
711;9.11.2011;439,9403
712;9.11.2011;439,2814
713;9.11.2011;441,0131
714;9.11.2011;435,4719
715;9.11.2011;437,0704
716;9.11.2011;438,7457
717;9.11.2011;438,5669
718;9.11.2011;439,3393
719;9.11.2011;437,9864
720;9.11.2011;435,2014
721;9.11.2011;440,5707
722;9.11.2011;436,6924
723;9.11.2011;441,1316
724;9.11.2011;437,8993
725;9.11.2011;438,2226
726;9.11.2011;438,2071
727;9.11.2011;436,9025
728;9.11.2011;435,871
729;9.11.2011;443,6114
730;9.11.2011;435,8543
731;9.11.2011;438,409
732;9.11.2011;438,3639
733;9.11.2011;433,2596
734;9.11.2011;438,0557
735;9.11.2011;443,1039
736;9.11.2011;442,1646
737;9.11.2011;442,3065
738;9.11.2011;440,0421
739;9.11.2011;437,5527
740;9.11.2011;435,8856
741;9.11.2011;438,3223
742;9.11.2011;436,9096
743;9.11.2011;440,4616
744;9.11.2011;438,8402
745;9.11.2011;442,6392
746;9.11.2011;439,4013
747;9.11.2011;439,2361
748;9.11.2011;441,6741
749;9.11.2011;440,9091
750;9.11.2011;442,7278
751;9.11.2011;441,2853
752;9.11.2011;441,4054
753;9.11.2011;436,8416
754;9.11.2011;439,9535
755;9.11.2011;446,1735
756;9.11.2011;437,6231
757;9.11.2011;442,8537
758;9.11.2011;440,1773
759;9.11.2011;442,8979
760;9.11.2011;439,4002
761;9.11.2011;439,3144
762;9.11.2011;441,0021
763;9.11.2011;443,7523
764;9.11.2011;443,8292
765;9.11.2011;435,5066
766;9.11.2011;437,6448
767;9.11.2011;442,9717
768;9.11.2011;441,5159
769;9.11.2011;435,6196
770;9.11.2011;448,6534
771;9.11.2011;445,2466
772;9.11.2011;441,2118
773;9.11.2011;438,582
774;9.11.2011;439,9254
